
> land-property-asset-management-frontend@1.0.0 lint
> eslint src --ext .ts,.tsx --format=compact

D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 326, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 341, col 14, Warning - Unexpected nullable string value in conditional. Please handle the nullish/empty cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 353, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 353, col 21, Warning - Unsafe member access .type on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 354, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 354, col 16, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 354, col 22, Warning - Unsafe member access .value on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 377, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 418, col 10, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 430, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 459, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 460, col 16, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 460, col 22, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 461, col 13, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 461, col 19, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\__tests__\AnalyticsCard.test.tsx: line 45, col 32, Error - Parsing error: ',' expected.
D:\ccode\zcgl\frontend\src\components\Asset\AssetAreaSummary.tsx: line 18, col 5, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetAreaSummary.tsx: line 18, col 25, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetBatchActions.tsx: line 113, col 26, Warning - Unsafe member access [key] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 33, col 25, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 135, col 22, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 144, col 22, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 153, col 22, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 162, col 22, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 171, col 10, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 194, col 14, Warning - Unexpected nullable boolean value in conditional. Please handle the nullish case explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 197, col 14, Warning - Unexpected nullable string value in conditional. Please handle the nullish/empty cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetCard.tsx: line 200, col 14, Warning - Unexpected nullable string value in conditional. Please handle the nullish/empty cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetDetailInfo.tsx: line 21, col 25, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Asset\AssetDetailInfo.tsx: line 60, col 14, Warning - Unexpected nullable string value in conditional. Please handle the nullish/empty cases explicitly. (@typescript-eslint/strict-boolean-expressions)
